Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
290039,MOUNTAIN VIEW HOSPITAL,2023-01-01,2023-12-31,363
331304,MARGARETVILLE HOSPITAL,2023-01-01,2023-12-31,15
351316,PRESENTATION MEDICAL CENTER,2022-10-01,2023-09-30,25
454008,NTSH - WITCHITA FALLS & VERNON,2023-09-01,2024-08-31,483
100029,NORTH SHORE MEDICAL CENTER AND FMC,2023-05-01,2024-04-30,748
100183,CORAL GABLES HOSPITAL,2023-05-01,2024-04-30,245
100187,PALMETTO GENERAL HOSPITAL,2023-05-01,2024-04-30,358
151302,IU HEALTH BLACKFORD HOSPITAL,2023-01-01,2023-10-01,15
234041,CENTER FOR FORENSIC PSYCHIATRY,2022-10-01,2023-09-30,272
260059,MERCY HOSPITAL LEBANON,2023-07-01,2024-06-30,43
471307,PORTER HOSPITAL,2022-10-01,2023-09-30,25
521311,ASPIRUS STANLEY HOSPITAL,2023-07-01,2024-06-30,24
